0	(85, 85, 85)	white, black, grey	1	1
1	(180, 180, 180)	white, black, grey	1	3
2	(255, 255, 255)	white, black, grey	1	5
3	(74, 74, 74)	white, black, grey	2	1
4	(170, 170, 170)	white, black, grey	2	3
5	(249, 249, 249)	white, black, grey	2	5
6	(63, 63, 63)	white, black, grey	3	1
7	(159, 159, 159)	white, black, grey	3	3
8	(244, 244, 244)	white, black, grey	3	5
9	(53, 53, 53)	white, black, grey	4	1
10	(148, 148, 148)	white, black, grey	4	3
11	(239, 239, 239)	white, black, grey	4	5
12	(42, 42, 42)	white, black, grey	5	1
13	(138, 138, 138)	white, black, grey	5	3
14	(233, 233, 233)	white, black, grey	5	5
15	(31, 31, 31)	white, black, grey	6	1
16	(127, 127, 127)	white, black, grey	6	3
17	(223, 223, 223)	white, black, grey	6	5
18	(21, 21, 21)	white, black, grey	7	1
19	(116, 116, 116)	white, black, grey	7	3
20	(212, 212, 212)	white, black, grey	7	5
21	(10, 10, 10)	white, black, grey	8	1
22	(106, 106, 106)	white, black, grey	8	3
23	(201, 201, 201)	white, black, grey	8	5
24	(0, 0, 0)	white, black, grey	9	1
25	(95, 95, 95)	white, black, grey	9	3
26	(191, 191, 191)	white, black, grey	9	5
27	(252, 248, 248)	red	1	1
28	(253, 247, 247)	red	1	3
29	(255, 244, 244)	red	1	5
30	(248, 241, 241)	red	2	1
31	(252, 237, 237)	red	2	3
32	(255, 234, 234)	red	2	5
33	(241, 226, 226)	red	3	1
34	(248, 220, 220)	red	3	3
35	(255, 213, 213)	red	3	5
36	(226, 199, 199)	red	4	1
37	(241, 184, 184)	red	4	3
38	(255, 170, 170)	red	4	5
39	(213, 170, 170)	red	5	1
40	(234, 149, 149)	red	5	3
41	(255, 128, 128)	red	5	5
42	(199, 141, 141)	red	6	1
43	(226, 114, 114)	red	6	3
44	(255, 85, 85)	red	6	5
45	(184, 114, 114)	red	7	1
46	(220, 78, 78)	red	7	3
47	(255, 43, 43)	red	7	5
48	(170, 85, 85)	red	8	1
49	(213, 43, 43)	red	8	3
50	(255, 0, 0)	red	8	5
51	(141, 71, 71)	red	9	1
52	(177, 35, 35)	red	9	3
53	(213, 0, 0)	red	9	5
54	(114, 56, 56)	red	10	1
55	(141, 29, 29)	red	10	3
56	(170, 0, 0)	red	10	5
57	(85, 43, 43)	red	11	1
58	(106, 21, 21)	red	11	3
59	(128, 0, 0)	red	11	5
60	(56, 29, 29)	red	12	1
61	(71, 14, 14)	red	12	3
62	(85, 0, 0)	red	12	5
63	(252, 250, 248)	brown, orange	1	1
64	(253, 250, 247)	brown, orange	1	3
65	(255, 250, 244)	brown, orange	1	5
66	(248, 244, 241)	brown, orange	2	1
67	(252, 244, 237)	brown, orange	2	3
68	(255, 244, 234)	brown, orange	2	5
69	(241, 234, 226)	brown, orange	3	1
70	(248, 234, 220)	brown, orange	3	3
71	(255, 234, 213)	brown, orange	3	5
72	(226, 213, 199)	brown, orange	4	1
73	(241, 213, 184)	brown, orange	4	3
74	(255, 213, 170)	brown, orange	4	5
75	(213, 191, 170)	brown, orange	5	1
76	(234, 191, 149)	brown, orange	5	3
77	(255, 191, 128)	brown, orange	5	5
78	(199, 170, 141)	brown, orange	6	1
79	(226, 170, 114)	brown, orange	6	3
80	(255, 170, 85)	brown, orange	6	5
81	(184, 149, 114)	brown, orange	7	1
82	(220, 149, 78)	brown, orange	7	3
